date,rented_bike_count,hour,temperature,humidity,wind_speed,visibility,dew_point_temperature,solar_radiation,rainfall,snowfall,seasons,holiday,functioning_day,season_spring,season_summer,season_autumn,season_winter
01/12/2017,463,15,0.05329949238578681,0.3673469387755102,0.43243243243243246,2000,-11.4,0.54,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,484,16,0.030456852791878174,0.5510204081632653,0.5675675675675675,793,-7,0.24,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,555,17,0.020304568527918784,0.5918367346938775,0.21621621621621623,2000,-6.5,0.08,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,862,18,0.015228426395939087,0.673469387755102,0.18918918918918917,2000,-5,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,600,19,0,0.7857142857142857,0.22972972972972971,2000,-3.5,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,426,20,0.007614213197969543,0.8061224489795918,0.2027027027027027,1913,-3.5,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,405,21,0.020304568527918784,0.826530612244898,0.10810810810810811,1687,-3.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,398,22,0.022842639593908632,0.8469387755102041,0.2027027027027027,1380,-3.4,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,323,23,0.03299492385786802,0.8571428571428571,0.13513513513513511,1265,-3.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,328,0,0.045685279187817264,0.8877551020408163,0.14864864864864866,994,-3.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,308,1,0.05583756345177666,0.8775510204081632,0.08108108108108107,990,-4.2,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,262,2,0.07360406091370558,0.8775510204081632,0.2027027027027027,1256,-4.9,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,167,3,0.08883248730964467,0.826530612244898,0.2972972972972973,1221,-6.2,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,89,4,0.09644670050761421,0.8061224489795918,0.27027027027027023,1167,-6.9,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,79,5,0.10152284263959391,0.8061224489795918,0.2027027027027027,1202,-7.1,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,70,6,0.10913705583756345,0.8367346938775511,0.28378378378378377,1178,-6.9,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,146,7,0.11167512690355332,0.826530612244898,0.33783783783783783,1276,-7.1,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,219,8,0.10659898477157362,0.8061224489795918,0.28378378378378377,1436,-7.3,0.01,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,328,9,0.07360406091370558,0.6938775510204082,0.21621621621621623,1487,-7.9,0.3,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,334,10,0.010152284263959392,0.5816326530612245,0.21621621621621623,1309,-7.8,0.8,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,388,11,0.048223350253807105,0.5,0.24324324324324323,1406,-7.7,1,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,479,12,0.10913705583756345,0.41836734693877553,0.17567567567567569,1666,-7.8,1.09,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,606,13,0.15228426395939088,0.3673469387755102,0.24324324324324323,1780,-7.9,1.12,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,611,14,0.18527918781725888,0.35714285714285715,0.17567567567567569,1955,-7.1,0.99,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,589,15,0.19289340101522842,0.41836734693877553,0.31081081081081074,1953,-4.8,0.74,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,618,16,0.16243654822335027,0.4897959183673469,0.35135135135135137,1945,-3.8,0.22,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,572,17,0.15228426395939088,0.5204081632653061,0.33783783783783783,1891,-3.3,0.06,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,489,18,0.13959390862944163,0.5408163265306123,0.2027027027027027,1697,-3.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,385,19,0.12690355329949238,0.5306122448979592,0.31081081081081074,1666,-4,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,359,20,0.11675126903553298,0.5204081632653061,0.16216216216216214,1585,-4.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,377,21,0.10406091370558375,0.5612244897959183,0.16216216216216214,1448,-4.1,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,354,22,0.08883248730964467,0.5510204081632653,0.2027027027027027,1446,-4.9,0,0,0,Winter,No Holiday,Yes,0,0,0,1
02/12/2017,366,23,0.10152284263959391,0.5714285714285714,0.13513513513513511,1352,-4,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,342,0,0.10152284263959391,0.5918367346938775,0.18918918918918917,1296,-3.5,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,227,1,0.09898477157360407,0.7040816326530612,0.22972972972972971,485,-1.2,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,228,2,0.08375634517766498,0.8061224489795918,0.18918918918918917,830,0,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,117,3,0.08629441624365482,0.7244897959183674,0.21621621621621623,1011,-1.3,0,0.5,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,76,4,0.08883248730964467,0.7448979591836735,0.13513513513513511,1060,-0.8,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,32,5,0.09898477157360407,0.7653061224489796,0.25675675675675674,914,-0.1,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,13,6,0.08629441624365482,0.8775510204081632,0.33783783783783783,278,1.2,0,1,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,22,7,0.07868020304568528,0.9285714285714286,0.16216216216216214,129,1.7,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,85,8,0.08121827411167513,0.9387755102040817,0.24324324324324323,244,2,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,152,9,0.08883248730964467,0.9285714285714286,0.24324324324324323,231,2.1,0.02,2.5,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,200,10,0.11167512690355332,0.9081632653061225,0.2972972972972973,257,2.7,0.24,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,273,11,0.12944162436548223,0.8877551020408163,0.18918918918918917,321,3.1,0.25,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,333,12,0.14720812182741116,0.8673469387755102,0.22972972972972971,349,3.4,0.43,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,495,13,0.17258883248730963,0.826530612244898,0.25675675675675674,390,3.7,0.6,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,563,14,0.19289340101522842,0.7755102040816326,0.16216216216216214,422,3.6,0.69,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,621,15,0.20304568527918782,0.7448979591836735,0.21621621621621623,433,3.4,0.53,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,598,16,0.19289340101522842,0.7857142857142857,0.21621621621621623,399,3.8,0.2,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,545,17,0.1700507614213198,0.8367346938775511,0.2027027027027027,358,3.8,0.05,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,443,18,0.15228426395939088,0.8571428571428571,0.25675675675675674,327,3.4,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,422,19,0.14467005076142134,0.8673469387755102,0.22972972972972971,309,3.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,397,20,0.1319796954314721,0.8877551020408163,0.18918918918918917,253,3.2,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,385,21,0.11928934010152285,0.8877551020408163,0.16216216216216214,247,2.7,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,350,22,0.10913705583756345,0.9081632653061225,0.24324324324324323,201,2.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
03/12/2017,303,23,0.09898477157360407,0.9183673469387755,0.17567567567567569,194,2.4,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,285,0,0.10659898477157362,0.8979591836734694,0.08108108108108107,216,2.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,186,1,0.10913705583756345,0.8877551020408163,0.06756756756756756,221,2.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,112,2,0.11167512690355332,0.8877551020408163,0.24324324324324323,207,2.4,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,65,3,0.09137055837563453,0.8673469387755102,0.31081081081081074,206,1.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,41,4,0.07106598984771574,0.9081632653061225,0.2027027027027027,130,1.1,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,82,5,0.050761421319796954,0.8469387755102041,0.36486486486486486,253,-0.5,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,200,6,0.030456852791878174,0.7755102040816326,0.5,371,-2.5,0,0.1,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,498,7,0.005076142131979696,0.6938775510204082,0.45945945945945943,702,-5,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,937,8,0.020304568527918784,0.7040816326530612,0.47297297297297297,954,-5.7,0.01,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,509,9,0.03807106598984772,0.47959183673469385,0.5675675675675675,1888,-11.3,0.22,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,311,10,0.02791878172588833,0.40816326530612246,0.6081081081081081,2000,-13,0.64,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,379,11,0.012690355329949238,0.41836734693877553,0.554054054054054,1799,-12.1,0.94,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,393,12,0.007614213197969543,0.3877551020408163,0.6486486486486486,1823,-12.9,1.11,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,391,13,0,0.30612244897959184,0.7297297297297297,1938,-15.5,1.17,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,338,14,0.002538071065989848,0.2755102040816326,0.6081081081081081,2000,-16.7,1.09,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,341,15,0.002538071065989848,0.25510204081632654,0.7837837837837838,2000,-17.8,0.88,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,375,16,0.005076142131979696,0.23469387755102042,0.6351351351351351,2000,-18.8,0.55,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,515,17,0.03299492385786802,0.2653061224489796,0.7162162162162161,2000,-18.3,0.18,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,807,18,0.05329949238578681,0.29591836734693877,0.527027027027027,2000,-17.7,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,568,19,0.07360406091370558,0.32653061224489793,0.43243243243243246,2000,-17.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,398,20,0.09137055837563453,0.3877551020408163,0.4054054054054054,2000,-15.8,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,397,21,0.11675126903553298,0.4387755102040816,0.6081081081081081,2000,-15.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,353,22,0.13451776649746192,0.45918367346938777,0.33783783783783783,2000,-15.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
04/12/2017,248,23,0.14720812182741116,0.4489795918367347,0.3243243243243243,2000,-16.1,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,216,0,0.1548223350253807,0.42857142857142855,0.35135135135135137,2000,-16.9,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,198,1,0.1649746192893401,0.41836734693877553,0.37837837837837834,2000,-17.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,124,2,0.17258883248730963,0.41836734693877553,0.33783783783783783,2000,-17.8,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,62,3,0.17512690355329952,0.3979591836734694,0.27027027027027023,2000,-18.5,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,42,4,0.18274111675126906,0.3469387755102041,0.4054054054054054,2000,-20.4,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,82,5,0.18781725888324874,0.336734693877551,0.35135135135135137,2000,-20.9,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,172,6,0.18781725888324874,0.3469387755102041,0.43243243243243246,2000,-20.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,381,7,0.1903553299492386,0.336734693877551,0.2972972972972973,2000,-21,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,812,8,0.20558375634517767,0.3673469387755102,0.21621621621621623,2000,-20.5,0.01,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,462,9,0.19289340101522842,0.3163265306122449,0.17567567567567569,1974,-21.8,0.21,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,269,10,0.13959390862944163,0.2653061224489796,0.37837837837837834,1967,-22,0.64,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,334,11,0.09898477157360407,0.25510204081632654,0,1959,-21,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,321,12,0.05837563451776649,0.25510204081632654,0,1962,-19.7,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,325,13,0.04060913705583757,0.2755102040816326,0,1955,-18.2,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,334,14,0.02791878172588833,0.2857142857142857,0,2000,-17.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,353,15,0.017766497461928935,0.2857142857142857,0,2000,-16.9,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,435,16,0.012690355329949238,0.30612244897959184,0,2000,-16,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,529,17,0.04060913705583757,0.35714285714285715,0,2000,-15.1,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,789,18,0.06598984771573604,0.40816326530612246,0,2000,-14.4,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,597,19,0.08121827411167513,0.45918367346938777,0,2000,-13.5,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,418,20,0.08883248730964467,0.46938775510204084,0,2000,-13.4,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,415,21,0.09390862944162437,0.47959183673469385,0,2000,-13.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,393,22,0.07106598984771574,0.5,0,2000,-12,0,0,0,Winter,No Holiday,Yes,0,0,0,1
05/12/2017,244,23,0.06345177664974619,0.6020408163265306,0,1210,-9.4,0,0,0,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,145,0,0.07106598984771574,0.7857142857142857,0,331,-6.2,0,0.1,0.1,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,144,1,0.07614213197969544,0.8061224489795918,0,293,-6.1,0,0,0.3,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,117,2,0.07614213197969544,0.8061224489795918,0,1862,-6.1,0,0,0.4,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,78,3,0.08121827411167513,0.7959183673469388,0,1808,-6.4,0,0.2,0.4,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,58,4,0.08629441624365482,0.7653061224489796,0,1982,-7.2,0,0,0.4,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,87,5,0.09137055837563453,0.7755102040816326,0,1934,-7.2,0,0,0.4,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,142,6,0.09390862944162437,0.7755102040816326,0,1864,-7.3,0,0,0.4,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,379,7,0.10659898477157362,0.7857142857142857,0,1741,-7.6,0,0,0.3,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,802,8,0.10659898477157362,0.7959183673469388,0,1518,-7.4,0.01,0,0.2,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,440,9,0.08375634517766498,0.7142857142857143,0,1324,-7.9,0.25,0,0.2,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,307,10,0.022842639593908632,0.6530612244897959,0,1224,-6.8,0.63,0,0.2,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,381,11,0.04060913705583757,0.5816326530612245,0.16216216216216214,1261,-6,0.93,0,0,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,405,12,0.06091370558375635,0.5306122448979592,0.12162162162162161,1224,-6.4,1.08,0,0,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,442,13,0.10659898477157362,0.47959183673469385,0.14864864864864866,1469,-6.1,1.1,0,0,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,416,14,0.13959390862944163,0.3469387755102041,0.13513513513513511,1966,-9.1,0.96,0,0,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,412,15,0.13959390862944163,0.3163265306122449,0.4189189189189189,1968,-10.3,0.72,0,0,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,496,16,0.13451776649746192,0.37755102040816324,0.3918918918918919,2000,-8.2,0.36,0,0,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,239,17,0.10406091370558375,0.6122448979591837,0.33783783783783783,1565,-2.9,0.1,0,0,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,204,18,0.04314720812182741,0.9183673469387755,0.13513513513513511,66,0.2,0,0.3,0.3,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,205,19,0.030456852791878174,0.9387755102040817,0.09459459459459459,180,0,0,0,1,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,190,20,0.030456852791878174,0.9591836734693877,0.08108108108108107,228,0.3,0,0,1,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,165,21,0.02791878172588833,0.9387755102040817,0.06756756756756756,235,0,0,0.7,1,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,222,22,0.03299492385786802,0.9387755102040817,0.08108108108108107,233,0.1,0,0,1,Winter,No Holiday,Yes,0,0,0,1
06/12/2017,193,23,0.03299492385786802,0.9387755102040817,0.08108108108108107,209,0.1,0,0,1,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,198,0,0.03553299492385787,0.9387755102040817,0.06756756756756756,240,0.2,0,0,0.9,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,218,1,0.03807106598984772,0.9387755102040817,0.05405405405405406,227,0.3,0,0,0.9,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,149,2,0.03553299492385787,0.9387755102040817,0.09459459459459459,168,0.2,0,0,0.9,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,102,3,0.048223350253807105,0.9285714285714286,0.18918918918918917,218,0.5,0,0,0.9,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,62,4,0.04060913705583757,0.9387755102040817,0.09459459459459459,119,0.4,0,0,0.9,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,83,5,0.03807106598984772,0.9387755102040817,0.14864864864864866,175,0.3,0,0,0.9,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,137,6,0.025380710659898477,0.9489795918367347,0.06756756756756756,148,0,0,0,0.9,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,367,7,0.007614213197969543,0.9489795918367347,0.06756756756756756,173,-0.7,0,0,0.9,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,754,8,0.005076142131979696,0.9795918367346939,0.10810810810810811,173,-0.7,0.01,0,0.8,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,415,9,0.002538071065989848,0.9285714285714286,0.10810810810810811,265,-1.1,0.14,0,0.8,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,321,10,0.02791878172588833,0.8469387755102041,0.09459459459459459,311,-1.4,0.41,0,0.7,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,333,11,0.05837563451776649,0.7040816326530612,0.22972972972972971,628,-2.8,0.63,0,0.6,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,431,12,0.09390862944162437,0.6632653061224489,0.3243243243243243,833,-2.2,0.98,0,0.3,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,394,13,0.10406091370558375,0.37755102040816324,0.4189189189189189,1767,-9.3,1.14,0,0,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,390,14,0.11167512690355332,0.3673469387755102,0.36486486486486486,1975,-9.4,1.04,0,0,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,430,15,0.10152284263959391,0.35714285714285715,0.4189189189189189,1962,-10.1,0.84,0,0,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,471,16,0.08121827411167513,0.3877551020408163,0.3918918918918919,1817,-9.7,0.51,0,0,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,552,17,0.05329949238578681,0.5102040816326531,0.27027027027027023,1434,-7.2,0.15,0,0,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,795,18,0.017766497461928935,0.46938775510204084,0.36486486486486486,1558,-9.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,507,19,0.010152284263959392,0.47959183673469385,0.33783783783783783,1269,-10.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,390,20,0.03553299492385787,0.47959183673469385,0.33783783783783783,1620,-11.2,0,0,0,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,402,21,0.05583756345177666,0.46938775510204084,0.2972972972972973,1975,-12.2,0,0,0,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,389,22,0.0685279187817259,0.4897959183673469,0.35135135135135137,1844,-12.2,0,0,0,Winter,No Holiday,Yes,0,0,0,1
07/12/2017,259,23,0.08121827411167513,0.5102040816326531,0.28378378378378377,1887,-12.1,0,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,233,0,0.08883248730964467,0.5,0.35135135135135137,1893,-12.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,230,1,0.09390862944162437,0.5102040816326531,0.33783783783783783,1902,-12.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,131,2,0.10913705583756345,0.5408163265306123,0.13513513513513511,1918,-12.4,0,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,99,3,0.1218274111675127,0.5306122448979592,0.21621621621621623,1978,-13.1,0,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,71,4,0.13451776649746192,0.5408163265306123,0.3243243243243243,1936,-13.4,0,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,84,5,0.14720812182741116,0.5714285714285714,0.27027027027027023,1941,-13.1,0,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,158,6,0.15228426395939088,0.5714285714285714,0.47297297297297297,1853,-13.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,387,7,0.1649746192893401,0.5816326530612245,0.10810810810810811,1776,-13.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,780,8,0.17766497461928935,0.6020408163265306,0.10810810810810811,1559,-13.6,0.01,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,395,9,0.1700507614213198,0.5102040816326531,0.12162162162162161,1492,-15.4,0.23,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,261,10,0.13451776649746192,0.4489795918367347,0.37837837837837834,1516,-15.6,0.63,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,310,11,0.09390862944162437,0.3979591836734694,0.18918918918918917,1595,-15.6,0.93,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,355,12,0.050761421319796954,0.30612244897959184,0.18918918918918917,1728,-17.3,1.14,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,354,13,0.04314720812182741,0.2857142857142857,0.24324324324324323,1963,-17.8,1.22,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,350,14,0.03299492385786802,0.2755102040816326,0.4189189189189189,1906,-17.9,1.12,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,362,15,0.020304568527918784,0.2653061224489796,0.4459459459459459,1977,-17.9,0.87,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,401,16,0.02791878172588833,0.24489795918367346,0.45945945945945943,2000,-19.1,0.56,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,500,17,0.06091370558375635,0.30612244897959184,0.36486486486486486,2000,-17.6,0.18,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,752,18,0.07868020304568528,0.336734693877551,0.16216216216216214,2000,-17.1,0,0,0,Winter,No Holiday,Yes,0,0,0,1
08/12/2017,477,19,0.08375634517766498,0.35714285714285715,0.14864864864864866,2000,-16.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
